Date,Open,High,Low,Close,Adj Close,Volume
2023/02/22,"4,001.83","4,017.37","3,976.90","3,991.05","3,991.05","4,079,320,000"
2023/02/23,"4,018.60","4,028.30","3,969.19","4,012.32","4,012.32","3,952,940,000"
2023/02/24,"3,973.24","3,978.25","3,943.08","3,970.04","3,970.04","3,877,700,000"
2023/02/27,"3,992.36","4,018.05","3,973.55","3,982.24","3,982.24","3,836,950,000"
2023/02/28,"3,977.19","3,997.50","3,968.98","3,970.15","3,970.15","5,043,400,000"
2023/03/01,"3,963.34","3,971.73","3,939.05","3,951.39","3,951.39","4,249,480,000"
2023/03/02,"3,938.68","3,990.84","3,928.16","3,981.35","3,981.35","4,244,900,000"
2023/03/03,"3,998.02","4,048.29","3,995.17","4,045.64","4,045.64","4,084,730,000"
2023/03/06,"4,055.15","4,078.49","4,044.61","4,048.42","4,048.42","4,000,870,000"
2023/03/07,"4,048.26","4,050.00","3,980.31","3,986.37","3,986.37","3,922,500,000"
2023/03/08,"3,987.55","4,000.41","3,969.76","3,992.01","3,992.01","3,535,570,000"
2023/03/09,"3,998.66","4,017.81","3,908.70","3,918.32","3,918.32","4,445,260,000"
2023/03/10,"3,912.77","3,934.05","3,846.32","3,861.59","3,861.59","5,518,190,000"
2023/03/13,"3,835.12","3,905.05","3,808.86","3,855.76","3,855.76","6,558,020,000"
2023/03/14,"3,894.01","3,937.29","3,873.63","3,919.29","3,919.29","5,665,870,000"
2023/03/15,"3,876.74","3,894.26","3,838.24","3,891.93","3,891.93","6,594,010,000"
2023/03/16,"3,878.93","3,964.46","3,864.11","3,960.28","3,960.28","5,695,790,000"
2023/03/17,"3,958.69","3,958.91","3,901.27","3,916.64","3,916.64","9,354,280,000"
2023/03/20,"3,917.47","3,956.62","3,916.89","3,951.57","3,951.57","5,347,140,000"
2023/03/21,"3,975.89","4,009.08","3,971.19","4,002.87","4,002.87","4,920,240,000"
2023/03/22,"4,002.04","4,039.49","3,936.17","3,936.97","3,936.97","4,533,010,000"
2023/03/23,"3,959.21","4,007.66","3,919.05","3,948.72","3,948.72","4,991,600,000"
2023/03/24,"3,939.21","3,972.74","3,909.16","3,970.99","3,970.99","4,583,970,000"
2023/03/27,"3,982.93","4,003.83","3,970.49","3,977.53","3,977.53","4,233,540,000"
2023/03/28,"3,974.13","3,979.20","3,951.53","3,971.27","3,971.27","4,014,600,000"
2023/03/29,"3,999.53","4,030.59","3,999.53","4,027.81","4,027.81","4,145,250,000"
2023/03/30,"4,046.74","4,057.85","4,032.10","4,050.83","4,050.83","3,930,860,000"
2023/03/31,"4,056.18","4,110.75","4,056.18","4,109.31","4,109.31","4,525,120,000"
2023/04/03,"4,102.20","4,127.66","4,098.79","4,124.51","4,124.51","4,234,700,000"
2023/04/04,"4,128.03","4,133.13","4,086.87","4,100.60","4,100.60","4,227,800,000"
2023/04/05,"4,094.50","4,099.69","4,072.56","4,090.38","4,090.38","3,968,020,000"
2023/04/06,"4,081.15","4,107.32","4,069.84","4,105.02","4,105.02","3,486,690,000"
2023/04/10,"4,085.20","4,109.50","4,072.55","4,109.11","4,109.11","3,423,650,000"
2023/04/11,"4,110.29","4,124.26","4,102.61","4,108.94","4,108.94","3,665,830,000"
2023/04/12,"4,121.72","4,134.37","4,086.94","4,091.95","4,091.95","3,633,120,000"
